Player_Name,Country,Birth_Year,Position,matches_before_22,matches_after_22,injuries_before_22,missed_days_before_22,injuries_after_22,Missed_days_after_22,Total Matches ,% Matches Before 22,% Matches After 22,Total Missed Days,Avg Days per Injury (after 22)
Lionel Messi,Argentina,1987,RW,196,762,7,246,41,673,958,20.45929019,79.54070981,919,16.41463415
Cristiano Ronaldo,Portugal,1985,LW,206,855,1,47,20,489,1061,19.41564562,80.58435438,536,24.45
Neymar ,Brazil ,1992,LW,273,339,0,0,38,1606,612,44.60784314,55.39215686,1606,42.26315789
"Angel Di Maria
",Argentina,1988,RW,115,710,1,45,44,822,825,13.93939394,86.06060606,867,18.68181818
Arjen Robben,Netherlands,1984,RW,196,418,2,112,52,1870,614,31.9218241,68.0781759,1982,35.96153846
Bale,Wales,1989,RW,217,337,5,384,42,1060,554,39.16967509,60.83032491,1444,25.23809524
Eden Hazard,Belgium,1991,LW,255,368,0,0,38,1090,623,40.93097913,59.06902087,1090,28.68421053
Frank Ribery,France,1983,LW,46,586,1,6,58,1540,632,7.278481013,92.72151899,1546,26.55172414
Salah,Egypt,1992,LW,120,545,1,22,11,166,665,18.04511278,81.95488722,188,15.09090909
Pedro,Spain,1987,RW,67,701,1,26,31,404,768,8.723958333,91.27604167,430,13.03225806
Vinicius Junior,Brazil ,2000,LW,242,1,3,74,6,118,243,99.58847737,0.4115226337,192,19.66666667
"Riyad Mahrez
",Algeria,1991,RW,75,562,0,0,3,35,637,11.77394035,88.22605965,35,11.66666667
Joaquin,Spain,1981,RW,93,764,0,0,14,298,857,10.85180863,89.14819137,298,21.28571429
"Alexis Sanchez
",Chile,1988,LW,171,576,5,131,28,846,747,22.89156627,77.10843373,977,30.21428571
Nani,Portugal,1986,LW,118,499,1,20,26,819,617,19.12479741,80.87520259,839,31.5